1552453084270|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552453084297|25|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552453084302|4|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())
1552453315295|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552453315306|10|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552453315310|3|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())
1552453317032|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552453317051|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552453354796|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552453354808|11|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552453354813|4|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())
1552453356394|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552453356409|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552453508450|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552453508460|9|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552453508465|4|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())
1552453510017|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552453510032|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552453572155|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552453572166|10|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552453572171|4|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())
1552453573713|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552453573728|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552453627154|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552453627165|10|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552453627170|4|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())
1552453628730|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552453628747|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552453697686|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552453697695|10|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
